JrId	JournalTitle	MedAbbr	ISSN_NLM	EISSN_NLM	IsoAbbr	NlmId
43	Acta chirurgica Belgica	Acta Chir Belg	0001-5458		Acta Chir. Belg.	370571
44	Acta chirurgica Italica	Acta Chir Ital	0001-5466		Acta Chir Ital	370303
46	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	0001-5415		Acta Chir Orthop Traumatol Cech	407123
47	Acta chirurgiae plasticae	Acta Chir Plast	0001-5423	1805-4404	Acta Chir Plast	370301
48	Acta chirurgica Scandinavica	Acta Chir Scand	0001-5482		Acta Chir Scand	7906530
49	Acta chirurgica Scandinavica. Supplementum	Acta Chir Scand Suppl	0301-1860		Acta Chir Scand Suppl	370305
50	Acta cientifica venezolana	Acta Cient Venez	0001-5504		Acta Cient. Venez.	70154
52	Acta clinica Belgica. Supplementum	Acta Clin Belg Suppl	0567-7386		Acta Clin Belg Suppl	43523
53	Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	Acta Clin Odontol	0120-9906		Acta Clin Odontol	8503035
58	"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")"	Acta Embryol Morphol Exp	0391-9706		Acta Embryol Morphol Exp	8108943
59	Acta dermatologica-Kyoto. English edition	Acta Dermatol Kyoto Engl Ed	0376-0189		Acta Dermatol Kyoto Engl Ed	266344
61	Acta dermato-venereologica. Supplementum	Acta Derm Venereol Suppl (Stockh)	0365-8341		Acta Derm Venereol Suppl (Stockh)	370311
62	Hifuka kiyo. Acta dermatologica	Hifuka Kiyo	0065-1176		Hifuka Kiyo	1305010
64	Acta embryologiae experimentalis	Acta Embryol Exp (Palermo)	0065-1184		Acta Embryol Exp (Palermo)	236000
65	Acta embryologiae et morphologiae experimentalis	Acta Embryol Morphol Exp	0567-7416		Acta Embryol Morphol Exp	235532
66	Acta endocrinologica	Acta Endocrinol (Copenh)	0001-5598		Acta Endocrinol.	370312
67	Acta endocrinologica. Supplementum	Acta Endocrinol Suppl (Copenh)	0300-9750		Acta Endocrinol Suppl (Copenh)	370313
68	Acta Europaea fertilitatis	Acta Eur Fertil	0587-2421		Acta Eur. Fertil.	1300660
69	Acta gastro-enterologica Belgica	Acta Gastroenterol Belg	0001-5644		Acta Gastroenterol. Belg.	414075
70	Acta gastroenterologica Latinoamericana	Acta Gastroenterol Latinoam	0300-9033		Acta Gastroenterol. Latinoam.	261505
71	Acta genetica et statistica medica	Acta Genet Stat Med	0567-7440		Acta Genet Stat Med	200600
73	Acta gerontologica	Acta Gerontol (Milano)	0001-5741		Acta Gerontol (Milano)	7501996
74	Acta ginecologica	Acta Ginecol (Madr)	0001-5776		Acta Ginecol (Madr)	370317
75	Acta gynaecologica et obstetrica Hispano-Lusitana	Acta Gynaecol Obstet Hisp Lusit	0001-5784		Acta Gynaecol Obstet Hisp Lusit	147664
77	Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	Nihon Ketsueki Gakkai Zasshi	0001-5806		Nippon Ketsueki Gakkai Zasshi	2984803R
79	Acta hepato-gastroenterologica	Acta Hepatogastroenterol (Stuttg)	0300-970X		Acta Hepatogastroenterol (Stuttg)	340734
80	Acta historica scientiarum naturalium et medicinalium	Acta Hist Sci Nat Med	0065-1311		Acta Hist Sci Nat Med	416660
82	Acta iberica radiologica-cancerologica	Acta Iber Radiol Cancerol	0001-589X		Acta Iber Radiol Cancerol	370321
83	Acta isotopica	Acta Isot (Padova)	0001-5911		Acta Isot (Padova)	421025
84	Acta Leidensia	Acta Leiden	0065-1362		Acta Leiden.	413650
85	Igaku kenkyu. Acta medica	Igaku Kenkyu	0076-597X		Igaku Kenkyu	421144
86	Acta medica Academiae Scientiarum Hungaricae	Acta Med Acad Sci Hung	0001-5989		Acta Med Acad Sci Hung	370323
88	Acta medica Austriaca. Supplement	Acta Med Austriaca Suppl	0303-8181		Acta Med Austriaca Suppl	7502262
89	Acute care	Acute Care	0254-0819		Acute Care	8412026
90	Acta medica et biologica	Acta Med Biol (Niigata)	0567-7734		Acta Med. Biol. (Niigata)	243663
91	Perspectives (Gerontological Nursing Association (Canada))	Perspectives	0831-7445		Perspectives	8500942
92	Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	Acta Med Ital Med Trop Subtrop Gastroenterol	0001-6039		Acta Med Ital Med Trop Subtrop Gastroenterol	14540080R
93	Acta medica Iugoslavica	Acta Med Iugosl	0375-8338		Acta Med Iugosl	370324
94	Acta medicinae legalis et socialis	Acta Med Leg Soc (Liege)	0065-1397		Acta Med Leg Soc (Liege)	7611894
95	Acta medica Nagasakiensia	Acta Med Nagasaki	0001-6055		Acta Med Nagasaki	372633
96	Family practice research journal	Fam Pract Res J	0270-2304		Fam Pract Res J	8208228
97	Fetal therapy	Fetal Ther	0257-2788		Fetal Ther	8700083
100	The Journal of the American Board of Family Practice / American Board of Family Practice	J Am Board Fam Pract	0893-8652	1544-8770	J Am Board Fam Pract	8807505
101	Journal of biological regulators and homeostatic agents	J Biol Regul Homeost Agents	0393-974X		J. Biol. Regul. Homeost. Agents	8809253
103	Acta medica Okayama	Acta Med Okayama	0386-300X		Acta Med. Okayama	417611
105	Acta medica Philippina	Acta Med Philipp	0001-6071		Acta Med Philipp	312677
106	Acta medica Polona	Acta Med Pol	0001-608X		Acta Med Pol	370326
107	Acta medica portuguesa	Acta Med Port	0870-399X	1646-0758	Acta Med Port	7906803
109	Acta medica Scandinavica. Supplementum	Acta Med Scand Suppl	0365-463X		Acta Med. Scand. Suppl.	370331
110	Acta medica veterinaria	Acta Med Vet (Napoli)	0001-6136		Acta Med Vet (Napoli)	212
111	Acta microbiologica Academiae Scientiarum Hungaricae	Acta Microbiol Acad Sci Hung	0001-6187		Acta Microbiol Acad Sci Hung	370333
112	Acta microbiologica Bulgarica	Acta Microbiol Bulg	0204-8809		Acta Microbiol Bulg	7901426
113	Acta microbiologica Polonica	Acta Microbiol Pol	0137-1320		Acta Microbiol. Pol.	7610362
114	Acta microbiologica Polonica. Series A: Microbiologia generalis	Acta Microbiol Pol A	0567-7815		Acta Microbiol Pol A	7610360
115	Acta microbiologica Polonica. Series B: Microbiologia applicata	Acta Microbiol Pol B	0567-7823		Acta Microbiol Pol B	7610361
116	Acta morphologica Academiae Scientiarum Hungaricae	Acta Morphol Acad Sci Hung	0001-6217		Acta Morphol Acad Sci Hung	370334
118	Acta microbiologica, virologica et immunologica	Acta Microbiol Virol Immunol (Sofiia)	0324-0452		Acta Microbiol Virol Immunol (Sofiia)	7600027
119	Acta morphologica Hungarica	Acta Morphol Hung	0236-5391		Acta Morphol Hung	8307964
120	Acta morphologica Neerlando-Scandinavica	Acta Morphol Neerl Scand	0001-6225		Acta Morphol Neerl Scand	370335
121	Acta neurobiologiae experimentalis	Acta Neurobiol Exp (Wars)	0065-1400	1689-0035	Acta Neurobiol Exp (Wars)	1246675
124	Acta neurologica	Acta Neurol (Napoli)	0001-6276		Acta Neurol (Napoli)	421100
125	Acta rhumatologica	Acta Rhumatol	0250-4642		Acta Rhumatol	7908064
126	Acta leprologica	Acta Leprol	0001-5938		Acta Leprol	37353
127	Acta microbiologica Hungarica	Acta Microbiol Hung	0231-4622		Acta Microbiol. Hung.	8400270
129	Acta neurologica latinoamericana	Acta Neurol Latinoam	0001-6306		Acta Neurol Latinoam	9421556
130	Acta neurologica. Quaderni	Acta Neurol Quad (Napoli)	0515-2976		Acta Neurol Quad (Napoli)	7506814
132	Acta neurologica Scandinavica. Supplementum	Acta Neurol Scand Suppl	0065-1427	1600-5449	Acta Neurol. Scand., Suppl.	370337
134	Acta neuropathologica. Supplementum	Acta Neuropathol Suppl	0065-1435		Acta Neuropathol Suppl	370342
136	Acta obstetrica y ginecologica hispano-lusitana	Acta Obstet Ginecol Hisp Lusit	0210-9832		Acta Obstet Ginecol Hisp Lusit	147634
137	Acta obstetrica y ginecologica hispano-lusitana. Suplemento	Acta Obstet Ginecol Hisp Lusit Suppl	0300-8940		Acta Obstet Ginecol Hisp Lusit Suppl	221541
138	Acta obstetrica et gynaecologica Japonica	Acta Obstet Gynaecol Jpn	0001-6330		Acta Obstet Gynaecol Jpn	202673
140	Acta obstetricia et gynecologica Scandinavica. Supplement	Acta Obstet Gynecol Scand Suppl	0300-8835		Acta Obstet Gynecol Scand Suppl	337655
142	Acta odontologica Scandinavica. Supplementum	Acta Odontol Scand Suppl	0365-530X		Acta Odontol Scand Suppl	370345
143	Acta odontologica venezolana	Acta Odontol Venez	0001-6365		Acta Odontol Venez	14540210R
144	Acta oncologica	Acta Oncol (Madr)	0001-6381		Acta Oncol (Madr)	370346
145	Acta ophthalmologica	Acta Ophthalmol (Copenh)	0001-639X		Acta Ophthalmol (Copenh)	370347
146	Acta ophthalmologica. Supplementum	Acta Ophthalmol Suppl	0065-1451		Acta Ophthalmol. Suppl.	370350
147	Acta orthopaedica Belgica	Acta Orthop Belg	0001-6462		Acta Orthop Belg	2985165R
149	Acta orthopaedica Scandinavica. Supplementum	Acta Orthop Scand Suppl	0300-8827		Acta Orthop Scand Suppl	370353
151	Acta oto-laryngologica. Supplementum	Acta Otolaryngol Suppl	0365-5237		Acta Otolaryngol Suppl	370355
152	Acta oto-rhino-laryngologica Belgica	Acta Otorhinolaryngol Belg	0001-6497		Acta Otorhinolaryngol Belg	373057
153	Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	Acta Otorhinolaryngol Ital	0392-100X	1827-675X	Acta Otorhinolaryngol Ital	8213019
154	Acta oto-rino-laringologica ibero-americana	Acta Otorinolaryngol Iber Am	0001-6500		Acta Otorinolaryngol Iber Am	7610363
155	Acta paediatrica Academiae Scientiarum Hungaricae	Acta Paediatr Acad Sci Hung	0001-6527		Acta Paediatr Acad Sci Hung	372634
156	Acta paediatrica Belgica	Acta Paediatr Belg	0001-6535		Acta Paediatr Belg	372635
157	Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	Nihon Shonika Gakkai Zasshi	0001-6543		Nihon Shonika Gakkai Zasshi	413547
158	Acta paediatrica Japonica; Overseas edition	Acta Paediatr Jpn	0374-5600		Acta Paediatr Jpn	370357
159	Acta paediatrica Scandinavica	Acta Paediatr Scand	0001-656X		Acta Paediatr Scand	211
160	Acta paediatrica Scandinavica. Supplement	Acta Paediatr Scand Suppl	0300-8843		Acta Paediatr Scand Suppl	173166
161	Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	0001-6578		Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	16210470R
162	Acta paedopsychiatrica	Acta Paedopsychiatr	0001-6586		Acta Paedopsychiatr	400661
163	Series paedopsychiatrica	Ser Paedopsychiatr	0080-9012		Ser Paedopsychiatr	36662
164	Acta pathologica japonica	Acta Pathol Jpn	0001-6632		Acta Pathol. Jpn.	372637
167	Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	Acta Pathol Microbiol Scand B	0105-0656		Acta Pathol Microbiol Scand B	7508472
170	Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement	Acta Pathol Microbiol Immunol Scand Suppl	0108-0172		Acta Pathol Microbiol Immunol Scand Suppl	8211441
171	Acta pediatrica espanola	Acta Pediatr Esp	0001-6640	2014-2986	Acta Pediatr Esp	405466
175	Acta pharmaceutica Hungarica	Acta Pharm Hung	0001-6659		Acta Pharm Hung	414322
176	Zhongguo yao li xue bao = Acta pharmacologica Sinica	Zhongguo Yao Li Xue Bao	0253-9756		Zhongguo Yao Li Xue Bao	8100330
177	Yao xue xue bao = Acta pharmaceutica Sinica	Yao Xue Xue Bao	0513-4870		Yao Xue Xue Bao	21710340R
178	Acta pharmaceutica Suecica	Acta Pharm Suec	0001-6675		Acta Pharm. Suec.	216
180	Acta physiologica Academiae Scientiarum Hungaricae	Acta Physiol Acad Sci Hung	0001-6756		Acta Physiol Acad Sci Hung	371156
182	Acta physiologica latino americana	Acta Physiol Lat Am	0001-6764		Acta Physiol Lat Am	60610
183	Acta physiologica et pharmacologica Bulgarica	Acta Physiol Pharmacol Bulg	0323-9950		Acta Physiol Pharmacol Bulg	7512568
184	Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	Acta Physiol Pharmacol Latinoam	0326-6656		Acta Physiol Pharmacol Latinoam	8409686
185	Acta physiologica et pharmacologica Neerlandica	Acta Physiol Pharmacol Neerl	0001-6748		Acta Physiol Pharmacol Neerl	14610130R
186	Acta physiologica Polonica	Acta Physiol Pol	0044-6033		Acta Physiol Pol	2985166R
188	Acta physiologica Scandinavica. Supplementum	Acta Physiol Scand Suppl	0302-2994		Acta Physiol Scand Suppl	376307
189	Acta poloniae pharmaceutica	Acta Pol Pharm	0001-6837		Acta Pol Pharm	2985167R
190	Acta psiquiatrica y psicologica de America latina	Acta Psiquiatr Psicol Am Lat	0001-6896		Acta Psiquiatr Psicol Am Lat	373060
191	Acta psychiatrica Belgica	Acta Psychiatr Belg	0300-8967		Acta Psychiatr Belg	247037
193	Acta psychiatrica Scandinavica. Supplementum	Acta Psychiatr Scand Suppl	0065-1591	1600-5473	Acta Psychiatr Scand Suppl	370365
195	Acta rhumatologica Belgica	Acta Rhumatol Belg	0378-9497		Acta Rhumatol Belg	7903226
196	Acta radiologica: diagnosis	Acta Radiol Diagn (Stockh)	0567-8056		Acta Radiol Diagn (Stockh)	370367
197	Acta radiologica. Supplementum	Acta Radiol Suppl	0365-5954		Acta Radiol Suppl	370370
198	Acta radiologica: therapy, physics, biology	Acta Radiol Ther Phys Biol	0567-8064		Acta Radiol Ther Phys Biol	201
199	Acta radiologica: oncology, radiation, physics, biology	Acta Radiol Oncol Radiat Phys Biol	0348-5196		Acta Radiol Oncol Radiat Phys Biol	7805897
200	Acta radiologica. Oncology	Acta Radiol Oncol	0349-652X		Acta Radiol Oncol	8209606
201	Acta medica Iranica	Acta Med Iran	0044-6025	1735-9694	Acta Med Iran	14540050R
203	Acta Scholae Medicinalis Universitatis in Kioto	Acta Sch Med Univ Kioto	0001-6950		Acta Sch Med Univ Kioto	7611898
204	Acta Societatis Medicorum Upsaliensis	Acta Soc Med Ups	0001-6985		Acta Soc Med Ups	332127
205	Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	Acta Stomatol Int	0255-4410		Acta Stomatol Int	8807267
206	Nippon Ganka Gakkai zasshi	Nippon Ganka Gakkai Zasshi	0029-0203		Nippon Ganka Gakkai Zasshi	7505716
207	Acta socio-medica Scandinavica	Acta Sociomed Scand	0044-6041		Acta Sociomed Scand	2985168R
208	Acta stomatologica Belgica	Acta Stomatol Belg	0001-7000		Acta Stomatol Belg	421026
212	Acta tropica. Supplementum	Acta Trop Suppl	0365-1541		Acta Trop Suppl	7611896
213	Acta tuberculosea et pneumologica Belgica	Acta Tuberc Pneumol Belg	0001-7078		Acta Tuberc Pneumol Belg	370376
214	Acta tuberculosea Japonica	Acta Tuberc Jpn	0567-8161		Acta Tuberc Jpn	157725
215	Acta tuberculosea et pneumologica Scandinavica	Acta Tuberc Pneumol Scand	0365-7531		Acta Tuberc Pneumol Scand	64362
216	Acta Universitatis Carolinae. Medica	Acta Univ Carol Med (Praha)	0001-7116		Acta Univ Carol Med (Praha)	2985169R
217	Acta Universitatis Carolinae. Medica. Monographia	Acta Univ Carol Med Monogr	0567-8250		Acta Univ Carol Med Monogr	177667
218	Acta urologica Belgica	Acta Urol Belg	0001-7183		Acta Urol Belg	377045
219	Hinyokika kiyo. Acta urologica Japonica	Hinyokika Kiyo	0018-1994		Hinyokika Kiyo	421145
220	Acta veterinaria Academiae Scientiarum Hungaricae	Acta Vet Acad Sci Hung	0001-7205		Acta Vet Acad Sci Hung	370377
222	Acta veterinaria Scandinavica	Acta Vet Scand	0044-605X	1751-0147	Acta Vet. Scand.	370400
223	Acta veterinaria Scandinavica. Supplementum	Acta Vet Scand Suppl	0065-1699		Acta Vet Scand Suppl	61331
225	Acta vitaminologica et enzymologica	Acta Vitaminol Enzymol	0300-8924		Acta Vitaminol. Enzymol.	135063
226	Acta zoologica et pathologica Antverpiensia	Acta Zool Pathol Antverp	0001-7280		Acta Zool Pathol Antverp	100314
228	The African journal of psychiatry	Afr J Psychiatry	0331-0175		Afr J Psychiatry	7802295
231	Acta Universitatis Palackianae Olomucensis Facultatis Medicae	Acta Univ Palacki Olomuc Fac Med	0301-2514		Acta Univ Palacki Olomuc Fac Med	363112
232	Actas luso-espanolas de neurologia, psiquiatria y ciencias afines	Actas Luso Esp Neurol Psiquiatr Cienc Afines	0300-5062		Actas Luso Esp Neurol Psiquiatr Cienc Afines	355573
234	Actas luso-espanolas de neurologia y psiquiatria	Actas Luso Esp Neurol Psiquiatr	0001-7329		Actas Luso Esp Neurol Psiquiatr	355646
235	Actualites cardiologiques et angeiologiques internationales	Actual Cardiol Angeiol Int (Paris)	0365-1045		Actual Cardiol Angeiol Int (Paris)	143027
236	Actualites endocrinologiques	Actual Endocrinol (Paris)	0065-1826		Actual Endocrinol (Paris)	370405
237	Actualites hepato-gastro-enterologiques	Actual Hepatogastroenterol (Paris)	0240-8007		Actual Hepatogastroenterol (Paris)	264367
238	Actualites neurophysiologiques	Actual Neurophysiol (Paris)	0567-882X		Actual Neurophysiol (Paris)	7513548
240	Actualidad pediatrica; revista de bibliografia internacional	Actual Pediatr (Granada)	0001-7671		Actual Pediatr (Granada)	2985171R
241	Actualites pharmacologiques	Actual Pharmacol (Paris)	0567-8854		Actual Pharmacol (Paris)	370407
243	Actualites de physiologie pathologique	Actual Physiol Pathol (Paris)	0567-8714		Actual Physiol Pathol (Paris)	7611901
245	Advance data	Adv Data	0147-3956	1933-3889	Adv Data	7703830
248	Addictive diseases	Addict Dis	0094-0267		Addict Dis	425064
250	Adolescence	Adolescence	0001-8449		Adolescence	123667
251	Adult education	Adult Educ	0001-8481		Adult Educ	9877760
252	Advances in anatomy, embryology, and cell biology	Adv Anat Embryol Cell Biol	0301-5556		Adv Anat Embryol Cell Biol	407712
253	Advances in applied microbiology	Adv Appl Microbiol	0065-2164		Adv. Appl. Microbiol.	370413
255	Advances in biochemical psychopharmacology	Adv Biochem Psychopharmacol	0065-2229		Adv. Biochem. Psychopharmacol.	211233
256	Advances in biological and medical physics	Adv Biol Med Phys	0065-2245		Adv Biol Med Phys	370414
257	Lifelong learning, the adult years / Adult Education Association of the United States of America	Lifelong Learn Adult Years	0148-2165		Lifelong Learn Adult Years	9877808
258	Advances in biochemical engineering/biotechnology	Adv Biochem Eng Biotechnol	0724-6145	1616-8542	Adv. Biochem. Eng. Biotechnol.	8307733
259	Advances in biology of skin	Adv Biol Skin	0065-2253		Adv Biol Skin	426664
260	Advances in biomedical engineering and medical physics	Adv Biomed Eng Med Phys	0065-2261		Adv Biomed Eng Med Phys	7611904
262	Advances in cancer research	Adv Cancer Res	0065-230X		Adv. Cancer Res.	370416
263	Advances in carbohydrate chemistry and biochemistry	Adv Carbohydr Chem Biochem	0065-2318		Adv Carbohydr Chem Biochem	240537
264	Advances in cardiology	Adv Cardiol	0065-2326	1662-2839	Adv Cardiol	270063
265	Advances in cardiopulmonary diseases	Adv Cardiopulm Dis	0065-2334		Adv Cardiopulm Dis	14630130R
266	Advances in cell biology	Adv Cell Biol	0065-2369		Adv Cell Biol	235424
267	Advances in chemotherapy	Adv Chemother	0567-9877		Adv Chemother	236562
268	Advances in child development and behavior	Adv Child Dev Behav	0065-2407		Adv Child Dev Behav	370417
270	Advances in chromatography	Adv Chromatogr	0065-2415		Adv Chromatogr	121020
271	Advances in clinical chemistry	Adv Clin Chem	0065-2423		Adv Clin Chem	2985173R
272	Advances in clinical pharmacology	Adv Clin Pharmacol	0303-2671		Adv Clin Pharmacol	430232
273	Advances in comparative physiology and biochemistry	Adv Comp Physiol Biochem	0065-244X		Adv Comp Physiol Biochem	370422
274	Advances in cyclic nucleotide and protein phosphorylation research	Adv Cyclic Nucleotide Protein Phosphorylation Res	0747-7767		Adv Cyclic Nucleotide Protein Phosphorylation Res	8404639
275	Advances in cyclic nucleotide research	Adv Cyclic Nucleotide Res	0084-5930		Adv Cyclic Nucleotide Res	341362
276	Advances in cytopharmacology	Adv Cytopharmacol	0084-5949		Adv Cytopharmacol	1301733
277	Advances in drug research	Adv Drug Res	0065-2490		Adv Drug Res	40021
279	Advances in enzymology and related areas of molecular biology	Adv Enzymol Relat Areas Mol Biol	0065-258X	1934-4694	Adv. Enzymol. Relat. Areas Mol. Biol.	337243
280	Advances in experimental medicine and biology	Adv Exp Med Biol	0065-2598		Adv. Exp. Med. Biol.	121103
281	Advances in fluorine research and dental caries prevention	Adv Fluorine Res	0567-994X		Adv Fluorine Res	14630160R
282	Advances in health economics and health services research	Adv Health Econ Health Serv Res	0731-2199		Adv Health Econ Health Serv Res	8206631
284	Advances in food research	Adv Food Res	0065-2628		Adv Food Res	370423
285	Advances in immunity and cancer therapy	Adv Immun Cancer Ther	0178-2134		Adv Immun Cancer Ther	8601071
286	Advances in genetics	Adv Genet	0065-2660		Adv. Genet.	370421
287	Advances in gerontological research	Adv Gerontol Res	0065-2709		Adv Gerontol Res	436264
288	Advances in nutritional research	Adv Nutr Res	0149-9483		Adv Nutr Res	7802764
289	Advances in heterocyclic chemistry	Adv Heterocycl Chem	0065-2725		Adv Heterocycl Chem	370424
290	Advances in human genetics	Adv Hum Genet	0065-275X		Adv. Hum. Genet.	1256347
291	Advances in immunology	Adv Immunol	0065-2776	1557-8445	Adv. Immunol.	370425
292	Advances in inorganic biochemistry	Adv Inorg Biochem	0190-0218		Adv. Inorg. Biochem.	7909203
293	Advances in internal medicine	Adv Intern Med	0065-2822		Adv Intern Med	370427
294	Advances in lipid research	Adv Lipid Res	0065-2849		Adv. Lipid Res.	262
295	Advances in metabolic disorders	Adv Metab Disord	0065-2903		Adv Metab Disord	370430
296	Advances in microbial physiology	Adv Microb Physiol	0065-2911		Adv. Microb. Physiol.	117147
297	Advances in nephrology from the Necker Hospital	Adv Nephrol Necker Hosp	0084-5957		Adv. Nephrol. Necker Hosp.	311622
298	Advances in morphogenesis	Adv Morphog	0065-2962		Adv Morphog	7611906
299	Advances in neurology	Adv Neurol	0091-3952		Adv Neurol	367524
300	Shinkei kenkyu no shimpo. Advances in neurological sciences	Shinkei Kenkyu No Shimpo	0001-8724		Shinkei Kenkyu No Shimpo	67457
302	Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie	Adv Ophthalmol	0065-3004		Adv Ophthalmol	263212
303	Advances in oral biology	Adv Oral Biol	0065-3020		Adv Oral Biol	261
304	Advances in oto-rhino-laryngology	Adv Otorhinolaryngol	0065-3071	1662-2847	Adv. Otorhinolaryngol.	242534
305	Advances in prostaglandin and thromboxane research	Adv Prostaglandin Thromboxane Res	0361-5952		Adv Prostaglandin Thromboxane Res	7610366
306	Advances in parasitology	Adv Parasitol	0065-308X		Adv. Parasitol.	370435
307	Advances in pathobiology	Adv Pathobiol	0099-1147		Adv Pathobiol	7511090
309	Advances in pest control research	Adv Pest Control Res	0568-0107		Adv Pest Control Res	14640020R
310	Advances in pharmaceutical sciences	Adv Pharm Sci	0065-3136		Adv Pharm Sci	40024
312	Advances in pharmacology and chemotherapy	Adv Pharmacol Chemother	0065-3144		Adv Pharmacol Chemother	237113
313	Adverse drug reactions and acute poisoning reviews	Adverse Drug React Acute Poisoning Rev	0260-647X		Adverse Drug React Acute Poisoning Rev	8217118
314	Advances in protein chemistry	Adv Protein Chem	0065-3233	1557-8941	Adv. Protein Chem.	116732
315	Advances in prostaglandin, thromboxane, and leukotriene research	Adv Prostaglandin Thromboxane Leukot Res	0732-8141		Adv. Prostaglandin Thromboxane Leukot. Res.	8211444
316	Advances in psychobiology	Adv Psychobiol	0065-3241		Adv Psychobiol	337407
317	Advances in psychosomatic medicine	Adv Psychosom Med	0065-3268	1662-2855	Adv Psychosom Med	101303
318	Advancement of science	Adv Sci	0001-866X		Adv Sci	370412
319	Advances in steroid biochemistry and pharmacology	Adv Steroid Biochem Pharmacol	0065-339X		Adv Steroid Biochem Pharmacol	1251746
321	Advances in reproductive physiology	Adv Reprod Physiol	0065-3322		Adv Reprod Physiol	7513188
322	Advances in tracer methodology	Adv Tracer Methodol	0065-3497		Adv Tracer Methodol	14640050R
323	Advances in sex hormone research	Adv Sex Horm Res	0098-0137		Adv Sex Horm Res	7504908
